Symbol,MeanLogReturn,StdLogReturn,MinLogReturn,MaxLogReturn
AAUCF,,,,
AAUGF,0.025178104367040998,0.07541771184972339,0.0,0.23946306303506673
AAUKF,-0.002169574931220767,0.027263163792035645,-0.04804329138437538,0.03649113495888752
AAVMY,-0.0007709166748099293,0.014019856327846579,-0.03934190577538673,0.01695961604233742
AAVVF,0.0016992457260872923,0.02642592933352398,-0.03933500256457791,0.0521857426744845
AAVXF,0.003785928041496424,0.011515132156200886,0.0,0.04196418168032305
AAWH,0.01845562323111029,0.048882090989512135,-0.05756979748106038,0.15066022270080828
AAXJ,-0.001608755634258283,0.010617479656232848,-0.026375159730122274,0.014472459198778894
AAXT,,,,
AAYYY,0.0,0.0,0.0,0.0
AB,0.005225965275348856,0.012694518726673194,-0.012822609178833948,0.03092392346211538
ABAKF,0.0,0.0,0.0,0.0
ABANF,0.0,0.0,0.0,0.0
ABAT,-0.023848468782445967,0.06858224628844249,-0.19830219878812777,0.09902074756238845
ABBAF,,,,
ABBB,0.00044201752873567575,0.0014545602805543217,0.0,0.006006046765104231
ABBNY,-0.0003281514136716155,0.015300220867337126,-0.0349222910925634,0.017974777777003466
ABBRF,-0.009108535086913772,0.0333367539181814,-0.0996298575872485,0.06136898709475669
ABBV,0.0016532773137776736,0.008440463402413608,-0.019776351551138202,0.015770509335955314
ABBY,0.0,0.0,0.0,0.0
ABCB,-0.00019210718545546715,0.01711977813427157,-0.039305130149003734,0.03233718965144394
ABCCF,0.0,0.0,0.0,0.0
ABCE,0.0,0.0,0.0,0.0
ABCFF,0.0,0.0,0.0,0.0
ABCGF,0.0,0.0,0.0,0.0
ABCL,-0.004304705084250267,0.03655899567978459,-0.07510744771604369,0.05259244649991329
ABCP,0.0014035895810280638,0.12218385838408777,-0.24541041702656688,0.22314358856711294
ABCS,-5.20487272309149e-05,0.007497127311519948,-0.019280101761755136,0.01087059154347715
ABCZF,0.0,0.0,0.0,0.0
ABDBY,0.0,0.0,0.0,0.0
ABDDF,0.0,0.0,0.0,0.0
ABDXF,0.0,0.0,0.0,0.0
ABEO,-0.011082358041573759,0.029552918837505306,-0.0793556346016353,0.0390120013349893
ABEPF,-0.015141161707988477,0.06587351351408623,-0.1713815797238026,0.07796146316030593
ABEQ,0.00030325571357874405,0.0056950646894737425,-0.013222915960176973,0.009618024838042302
ABEV,-0.002539304556336201,0.012753023772773837,-0.0293060984282184,0.025226539101959565
ABFRF,,,,
ABG,-0.0010688910005310377,0.021409052841355622,-0.06569996074839728,0.03129900259724579
ABGOF,0.0,0.0,0.0,0.0
ABGSF,0.002893799085342254,0.01261377777591732,0.0,0.054982182621502826
ABHBY,0.0,0.0,0.0,0.0
ABILF,0.0,0.0,0.0,0.0
ABIT,-0.0019140846679958038,0.10147597806976988,-0.15579136441781055,0.20099186371828612
ABL,0.010088946582443274,0.028251771681014733,-0.053869724226791794,0.07664108500333264
ABLAF,,,,
ABLE,,,,
ABLGF,0.0,0.0,0.0,0.0
